id,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings,shell_humidity_weight
5674,F,0.635,0.505,0.165,1.251,0.577,0.227,0.3825,11,0.29
5675,F,0.515,0.425,0.135,0.712,0.2665,0.1605,0.25,11,0.2
5676,I,0.375,0.285,0.09,0.2545,0.119,0.0595,0.0675,6,0.07
5677,I,0.39,0.29,0.1,0.2225,0.095,0.0465,0.073,7,0.05
5678,F,0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25,13,0.27
5679,M,0.6,0.49,0.21,1.9875,1.005,0.419,0.491,10,0.49
5680,I,0.185,0.13,0.045,0.029,0.012,0.0075,0.0095,4,0.01
5681,I,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,14,0.23
5682,I,0.395,0.27,0.1,0.2985,0.1445,0.061,0.082,5,0.07
5683,F,0.655,0.505,0.19,1.3485,0.5935,0.2745,0.425,12,0.33
5684,M,0.575,0.45,0.155,0.9765,0.495,0.2145,0.235,9,0.25
5685,I,0.425,0.34,0.1,0.3515,0.1625,0.082,0.094,7,0.09
5686,F,0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525,9,0.44
5687,I,0.56,0.43,0.13,0.728,0.3355,0.1435,0.2175,8,0.17
5688,I,0.53,0.4,0.125,0.617,0.279,0.127,0.19,8,0.15
5689,F,0.515,0.43,0.14,0.834,0.367,0.2,0.23,8,0.24
5690,I,0.205,0.14,0.05,0.046,0.0165,0.012,0.0135,6,0.02
5691,M,0.565,0.43,0.15,0.831,0.4245,0.1735,0.219,10,0.19
5692,F,0.59,0.415,0.15,0.8805,0.3645,0.234,0.235,11,0.28
5693,I,0.32,0.205,0.08,0.181,0.088,0.034,0.0495,5,0.04
5694,I,0.575,0.45,0.135,0.8715,0.45,0.162,0.225,10,0.2
5695,M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7,0.11
5696,M,0.65,0.495,0.18,1.793,0.8005,0.339,0.53,14,0.46
5697,M,0.675,0.505,0.16,1.532,0.74,0.357,0.3815,11,0.41
5698,I,0.575,0.445,0.17,0.8015,0.3475,0.1465,0.25,9,0.2
5699,M,0.5,0.37,0.15,1.0615,0.494,0.223,0.296,9,0.27
5700,F,0.64,0.54,0.175,1.221,0.51,0.259,0.39,15,0.32
5701,I,0.2,0.15,0.04,0.046,0.021,0.007,0.0065,4,0.02
5702,F,0.815,0.65,0.25,2.255,0.8905,0.42,0.7975,14,0.57
5703,F,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43,12,0.14
5704,F,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,16,0.29
5705,M,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,16,0.25
5706,F,0.615,0.495,0.155,1.0805,0.52,0.19,0.32,9,0.24
5707,M,0.61,0.49,0.16,1.146,0.597,0.246,0.265,8,0.28
5708,M,0.58,0.44,0.15,1.0465,0.518,0.2185,0.2795,10,0.25
5709,I,0.575,0.45,0.145,0.872,0.4675,0.18,0.217,9,0.19
5710,F,0.555,0.445,0.175,1.1465,0.551,0.244,0.2785,8,0.32
5711,F,0.57,0.435,0.15,0.8295,0.3875,0.156,0.245,10,0.2
5712,I,0.455,0.365,0.135,0.441,0.1515,0.1165,0.145,9,0.14
5713,F,0.545,0.4,0.14,0.778,0.368,0.215,0.18,9,0.23
5714,M,0.58,0.47,0.165,0.927,0.3215,0.1985,0.315,11,0.29
5715,M,0.67,0.505,0.16,1.2585,0.6255,0.311,0.308,12,0.33
5716,I,0.61,0.46,0.17,1.278,0.41,0.257,0.37,17,0.5
5717,I,0.5,0.38,0.155,0.6675,0.2745,0.156,0.18,12,0.21
5718,I,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,18,0.31
5719,F,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,23,0.41
5720,I,0.465,0.325,0.14,0.7615,0.362,0.1535,0.209,10,0.19
5721,M,0.72,0.545,0.195,1.7475,0.8215,0.383,0.4705,11,0.46
5722,M,0.545,0.425,0.135,0.8445,0.373,0.21,0.235,10,0.24
5723,M,0.645,0.51,0.16,1.33,0.6665,0.309,0.317,9,0.35
5724,F,0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,12,0.19
5725,M,0.53,0.44,0.205,0.835,0.32,0.2175,0.245,14,0.27
5726,I,0.495,0.38,0.12,0.512,0.233,0.1205,0.136,7,0.14
5727,F,0.66,0.495,0.21,1.548,0.724,0.3525,0.3925,10,0.43
5728,F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9,0.1
5729,I,0.43,0.33,0.1,0.449,0.254,0.0825,0.097,6,0.1
5730,M,0.38,0.27,0.095,0.219,0.0835,0.0515,0.07,6,0.07
5731,I,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006,4,0.01
5732,I,0.48,0.36,0.125,0.542,0.2795,0.1025,0.147,7,0.12
5733,I,0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125,8,0.09
5734,F,0.71,0.55,0.17,1.614,0.743,0.345,0.45,11,0.42
5735,F,0.48,0.38,0.145,0.59,0.232,0.141,0.23,12,0.13
5736,F,0.56,0.43,0.15,0.8745,0.453,0.161,0.22,8,0.2
5737,F,0.69,0.54,0.195,1.2525,0.73,0.3975,0.462,12,0.06
5738,F,0.37,0.275,0.1,0.2225,0.093,0.026,0.08,8,0.05
5739,F,0.665,0.525,0.18,1.5785,0.678,0.229,0.456,14,0.44
5740,I,0.41,0.325,0.105,0.361,0.1605,0.0665,0.103,8,0.1
5741,I,0.615,0.46,0.19,1.066,0.4335,0.226,0.33,13,0.3
5742,M,0.385,0.3,0.115,0.3435,0.1645,0.085,0.1025,6,0.08
5743,I,0.575,0.435,0.13,0.805,0.3155,0.2155,0.245,10,0.24
5744,M,0.39,0.3,0.09,0.3055,0.143,0.0645,0.085,9,0.08
5745,I,0.3,0.22,0.065,0.1235,0.059,0.026,0.0315,5,0.03
5746,M,0.595,0.48,0.14,0.9125,0.4095,0.1825,0.289,9,0.21
5747,M,0.66,0.51,0.18,1.261,0.5,0.2335,0.339,10,0.42
5748,M,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,10,0.47
5749,M,0.59,0.47,0.15,0.861,0.413,0.164,0.249,8,0.2
5750,F,0.6,0.45,0.14,0.869,0.3425,0.195,0.291,11,0.24
5751,M,0.565,0.45,0.155,1.0595,0.4735,0.24,0.265,10,0.32
5752,M,0.455,0.35,0.105,0.416,0.1625,0.097,0.145,11,0.11
5753,I,0.495,0.375,0.115,0.507,0.241,0.103,0.15,8,0.12
5754,I,0.47,0.375,0.12,0.487,0.196,0.099,0.135,8,0.16
5755,I,0.24,0.175,0.055,0.0705,0.025,0.014,0.021,5,0.02
5756,I,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,8,0.13
5757,I,0.575,0.45,0.145,0.872,0.4675,0.18,0.217,9,0.19
5758,F,0.555,0.425,0.14,0.963,0.44,0.224,0.24,7,0.28
5759,M,0.57,0.47,0.155,1.186,0.6355,0.2315,0.277,10,0.27
5760,F,0.505,0.39,0.13,0.674,0.3165,0.141,0.1785,9,0.18
5761,F,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,11,0.25
5762,M,0.67,0.525,0.18,1.4915,0.728,0.343,0.381,9,0.38
5763,I,0.175,0.125,0.04,0.028,0.0095,0.008,0.009,4,0.01
5764,F,0.605,0.46,0.17,1.122,0.347,0.3045,0.315,13,0.46
5765,I,0.57,0.44,0.13,0.7665,0.347,0.1785,0.202,10,0.22
5766,M,0.57,0.455,0.175,1.02,0.4805,0.2145,0.29,9,0.25
5767,M,0.575,0.45,0.155,0.886,0.3605,0.211,0.2575,9,0.27
5768,M,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,15,0.07
5769,F,0.655,0.49,0.16,1.204,0.5455,0.2615,0.3225,9,0.34
5770,M,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,8,0.22
5771,F,0.725,0.56,0.185,1.792,0.873,0.367,0.435,11,0.48
5772,I,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,8,0.11
5773,I,0.575,0.45,0.145,0.872,0.4675,0.18,0.217,9,0.19
5774,M,0.5,0.4,0.145,0.6025,0.216,0.138,0.21,11,0.18
5775,F,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,10,0.14
5776,M,0.555,0.43,0.165,0.7575,0.2735,0.1635,0.275,13,0.21
5777,M,0.345,0.265,0.09,0.163,0.0615,0.037,0.0485,10,0.05
5778,I,0.44,0.33,0.11,0.38,0.197,0.079,0.09,7,0.09
5779,I,0.315,0.235,0.08,0.18,0.08,0.045,0.047,5,0.05
5780,F,0.585,0.46,0.15,1.0035,0.503,0.2105,0.2515,11,0.25
5781,F,0.56,0.435,0.125,0.8775,0.3345,0.2145,0.29,13,0.25
5782,M,0.575,0.465,0.12,1.0535,0.516,0.2185,0.235,9,0.3
5783,I,0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405,7,0.13
5784,M,0.635,0.52,0.175,1.292,0.6,0.269,0.367,11,0.33
5785,I,0.45,0.36,0.13,0.478,0.191,0.127,0.137,7,0.15
5786,I,0.465,0.375,0.12,0.471,0.222,0.119,0.14,9,0.11
5787,F,0.5,0.375,0.115,0.5945,0.185,0.148,0.19,11,0.22
5788,I,0.445,0.33,0.12,0.347,0.12,0.084,0.105,11,0.12
5789,I,0.42,0.33,0.1,0.352,0.1635,0.089,0.1,9,0.09
5790,M,0.465,0.36,0.105,0.488,0.188,0.0845,0.19,10,0.11
5791,I,0.63,0.475,0.145,1.0605,0.5165,0.2195,0.28,10,0.26
5792,I,0.575,0.44,0.15,0.983,0.486,0.215,0.239,8,0.26
5793,F,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,9,0.4
5794,M,0.605,0.47,0.18,1.1155,0.479,0.2565,0.321,10,0.32
5795,M,0.61,0.48,0.165,1.244,0.6345,0.257,0.305,12,0.3
5796,F,0.61,0.47,0.195,1.2735,0.469,0.3315,0.398,12,0.41
5797,M,0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235,8,0.34
5798,M,0.515,0.41,0.14,0.7355,0.3065,0.137,0.2,7,0.23
5799,I,0.55,0.465,0.15,0.936,0.481,0.174,0.2435,9,0.21
5800,F,0.64,0.505,0.19,1.2765,0.4835,0.328,0.4,12,0.39
5801,M,0.475,0.375,0.12,0.563,0.2525,0.1205,0.185,10,0.13
5802,F,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,10,0.19
5803,M,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,16,0.25
5804,F,0.665,0.53,0.185,1.3955,0.456,0.3205,0.49,15,0.45
5805,F,0.57,0.425,0.13,0.782,0.3695,0.1745,0.1965,8,0.22
5806,M,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10,0.19
5807,M,0.61,0.49,0.16,1.112,0.465,0.228,0.341,10,0.31
5808,M,0.645,0.5,0.18,1.461,0.5985,0.2425,0.439,11,0.42
5809,M,0.615,0.525,0.155,1.1375,0.367,0.236,0.37,20,0.4
5810,M,0.67,0.525,0.2,1.7405,0.6205,0.297,0.657,11,0.46
5811,F,0.665,0.54,0.195,1.764,0.8505,0.3615,0.47,11,0.44
5812,I,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8,0.12
5813,F,0.69,0.56,0.215,1.719,0.68,0.299,0.47,17,0.57
5814,F,0.625,0.49,0.165,1.127,0.477,0.2365,0.3185,9,0.33
5815,F,0.695,0.535,0.175,1.361,0.5465,0.2815,0.465,10,0.35
5816,I,0.41,0.315,0.095,0.2805,0.114,0.0345,0.11,7,0.06
5817,M,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897,17,0.78
5818,M,0.645,0.49,0.175,1.32,0.6525,0.2375,0.3385,11,0.33
5819,I,0.355,0.27,0.075,0.1775,0.079,0.0315,0.054,6,0.04
5820,F,0.57,0.42,0.16,0.8875,0.4315,0.1915,0.223,8,0.23
5821,F,0.585,0.415,0.155,0.6985,0.3,0.146,0.195,12,0.2
5822,I,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,5,0.03
5823,I,0.285,0.205,0.07,0.106,0.039,0.0285,0.034,5,0.03
5824,M,0.595,0.455,0.145,0.942,0.43,0.182,0.277,11,0.23
5825,F,0.43,0.325,0.12,0.445,0.165,0.0995,0.155,8,0.13
5826,I,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,13,0.31
5827,F,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12,0.29
5828,M,0.47,0.375,0.13,0.5795,0.2145,0.164,0.195,13,0.17
5829,M,0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,10,0.21
5830,I,0.29,0.21,0.065,0.097,0.0375,0.022,0.03,6,0.03
5831,I,0.465,0.38,0.13,0.454,0.1895,0.08,0.155,11,0.11
5832,I,0.585,0.42,0.145,0.6735,0.2895,0.1345,0.22,9,0.16
5833,M,0.595,0.455,0.15,1.044,0.518,0.2205,0.27,9,0.26
5834,M,0.625,0.48,0.17,1.3555,0.671,0.268,0.3385,10,0.35
5835,M,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,16,0.72
5836,M,0.53,0.41,0.14,0.681,0.3095,0.1415,0.1835,6,0.19
5837,M,0.525,0.415,0.135,0.7945,0.394,0.189,0.202,7,0.2
5838,I,0.455,0.375,0.125,0.533,0.233,0.106,0.185,8,0.12
5839,M,0.59,0.46,0.14,1.004,0.496,0.2165,0.26,9,0.25
5840,M,0.575,0.435,0.13,1.0105,0.368,0.222,0.32,10,0.32
5841,F,0.585,0.46,0.17,1.0835,0.3745,0.326,0.325,14,0.38
5842,F,0.605,0.495,0.19,1.437,0.469,0.2655,0.41,15,0.56
5843,I,0.5,0.37,0.12,0.5445,0.249,0.1065,0.152,8,0.14
5844,F,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13,0.13
5845,M,0.67,0.525,0.17,1.4005,0.715,0.3025,0.387,9,0.3
5846,F,0.605,0.475,0.175,1.076,0.463,0.2195,0.335,9,0.28
5847,M,0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185,10,0.22
5848,I,0.275,0.195,0.065,0.106,0.054,0.02,0.028,6,0.02
5849,I,0.46,0.34,0.1,0.386,0.1805,0.0875,0.0965,8,0.11
5850,M,0.585,0.465,0.165,0.885,0.4025,0.1625,0.274,10,0.21
5851,I,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13,0.04
5852,I,0.62,0.485,0.18,1.154,0.4935,0.256,0.315,12,0.35
5853,F,0.29,0.21,0.075,0.275,0.113,0.0675,0.035,6,0.13
5854,F,0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,9,0.25
5855,M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7,0.1
5856,I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,8,0.14
5857,I,0.5,0.38,0.155,0.6675,0.2745,0.156,0.18,12,0.21
5858,I,0.415,0.305,0.12,0.336,0.165,0.076,0.0805,7,0.09
5859,I,0.305,0.225,0.09,0.1465,0.063,0.034,0.0415,6,0.04
5860,I,0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195,7,0.13
5861,I,0.47,0.35,0.13,0.466,0.1845,0.099,0.145,11,0.14
5862,M,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,16,0.32
5863,M,0.555,0.405,0.19,1.406,0.6115,0.342,0.389,10,0.41
5864,I,0.58,0.44,0.145,0.7905,0.3525,0.1645,0.242,10,0.2
5865,M,0.35,0.265,0.09,0.197,0.073,0.0365,0.077,7,0.05
5866,M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10,0.15
5867,I,0.485,0.385,0.13,0.568,0.2505,0.178,0.154,7,0.16
5868,M,0.63,0.49,0.18,1.13,0.458,0.2765,0.315,12,0.36
5869,M,0.6,0.475,0.175,1.3445,0.549,0.2875,0.36,11,0.44
5870,I,0.49,0.385,0.115,0.683,0.3265,0.1615,0.165,13,0.19
5871,I,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,8,0.16
5872,F,0.645,0.5,0.2,1.4285,0.639,0.305,0.36,11,0.43
5873,I,0.42,0.33,0.1,0.352,0.1635,0.089,0.1,9,0.09
5874,M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9,0.15
5875,M,0.6,0.495,0.175,1.3005,0.6195,0.284,0.3285,11,0.35
5876,M,0.405,0.305,0.12,0.3185,0.1235,0.0905,0.095,7,0.1
5877,M,0.545,0.41,0.14,0.625,0.223,0.16,0.235,13,0.17
5878,I,0.575,0.45,0.125,0.78,0.3275,0.188,0.235,9,0.22
5879,M,0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29,9,0.27
5880,F,0.605,0.505,0.18,1.434,0.7285,0.264,0.431,11,0.27
5881,F,0.705,0.57,0.185,1.761,0.747,0.3725,0.488,10,0.53
5882,F,0.645,0.49,0.19,1.3065,0.479,0.3565,0.345,18,0.48
5883,M,0.27,0.195,0.07,0.106,0.0465,0.018,0.036,7,0.02
5884,I,0.62,0.47,0.14,0.8565,0.3595,0.16,0.295,9,0.2
5885,M,0.59,0.46,0.13,1.102,0.455,0.2055,0.33,12,0.32
5886,F,0.545,0.415,0.2,1.358,0.567,0.318,0.403,10,0.39
5887,M,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,12,0.47
5888,F,0.54,0.385,0.14,0.7655,0.3265,0.116,0.2365,10,0.2
5889,M,0.67,0.5,0.2,1.269,0.576,0.2985,0.351,11,0.34
5890,M,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,8,0.14
5891,F,0.625,0.42,0.165,1.0595,0.358,0.165,0.445,21,0.26
5892,F,0.6,0.48,0.165,1.1345,0.4535,0.27,0.335,10,0.35
5893,F,0.535,0.4,0.15,1.224,0.618,0.275,0.2875,10,0.32
5894,M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9,0.15
5895,M,0.62,0.525,0.155,1.085,0.454,0.1965,0.35,10,0.28
5896,F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14,0.22
5897,I,0.365,0.27,0.105,0.2155,0.0915,0.0475,0.063,6,0.06
5898,F,0.54,0.42,0.14,0.8035,0.38,0.1805,0.21,9,0.21
5899,F,0.525,0.43,0.165,0.717,0.289,0.1745,0.195,10,0.23
5900,M,0.585,0.465,0.19,1.171,0.3905,0.2355,0.4,17,0.38
5901,M,0.545,0.41,0.14,0.625,0.223,0.16,0.235,13,0.17
5902,M,0.63,0.495,0.18,1.31,0.495,0.295,0.4695,10,0.35
5903,I,0.54,0.415,0.155,0.702,0.322,0.167,0.19,10,0.19
5904,F,0.495,0.37,0.12,0.594,0.28,0.11,0.1375,7,0.18
5905,F,0.63,0.515,0.16,1.336,0.553,0.3205,0.35,11,0.43
5906,M,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,18,0.24
5907,F,0.655,0.515,0.2,1.494,0.7255,0.309,0.405,12,0.36
5908,F,0.72,0.575,0.18,1.6705,0.732,0.3605,0.501,12,0.44
5909,M,0.545,0.43,0.155,0.8035,0.409,0.144,0.228,7,0.17
5910,I,0.475,0.34,0.105,0.4535,0.203,0.08,0.1465,9,0.1
5911,M,0.6,0.48,0.175,1.229,0.4125,0.2735,0.415,13,0.4
5912,F,0.565,0.44,0.135,0.83,0.393,0.1735,0.238,9,0.2
5913,M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13,0.34
5914,F,0.655,0.515,0.2,1.494,0.7255,0.309,0.405,12,0.36
5915,F,0.675,0.52,0.175,1.494,0.7365,0.3055,0.37,9,0.39
5916,M,0.69,0.525,0.2,1.7825,0.9165,0.3325,0.461,12,0.4
5917,I,0.41,0.33,0.105,0.335,0.1525,0.074,0.11,7,0.07
5918,M,0.33,0.245,0.085,0.171,0.0655,0.0365,0.055,11,0.05
5919,M,0.575,0.46,0.155,0.892,0.4415,0.176,0.22,10,0.23
5920,M,0.69,0.525,0.175,1.7005,0.8255,0.362,0.405,8,0.47
5921,F,0.6,0.465,0.155,1.04,0.4755,0.25,0.28,11,0.28
5922,I,0.255,0.185,0.06,0.088,0.0365,0.021,0.023,5,0.03
5923,M,0.545,0.45,0.15,0.8795,0.387,0.15,0.2625,11,0.23
5924,F,0.61,0.45,0.13,0.8725,0.389,0.1715,0.272,11,0.21
5925,F,0.4,0.305,0.16,0.368,0.173,0.0705,0.105,7,0.09
5926,F,0.71,0.54,0.205,1.5805,0.802,0.287,0.435,10,0.34
5927,M,0.625,0.5,0.18,1.3705,0.645,0.303,0.3705,12,0.36
5928,F,0.72,0.525,0.18,1.445,0.631,0.3215,0.435,7,0.38
5929,F,0.49,0.37,0.14,0.585,0.243,0.115,0.195,10,0.15
5930,I,0.38,0.28,0.095,0.2885,0.165,0.0435,0.067,7,0.06
5931,M,0.59,0.475,0.14,0.977,0.4625,0.2025,0.275,10,0.24
5932,I,0.505,0.4,0.145,0.7045,0.334,0.1425,0.207,8,0.16
5933,I,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095,4,0.01
5934,F,0.515,0.395,0.135,0.516,0.2015,0.132,0.162,9,0.15
5935,M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,8,0.11
5936,M,0.67,0.525,0.18,1.4915,0.728,0.343,0.381,9,0.38
5937,I,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,9,0.09
5938,F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10,0.21
5939,M,0.465,0.355,0.12,0.5315,0.2725,0.097,0.1395,8,0.12
5940,M,0.65,0.495,0.16,1.304,0.57,0.312,0.3725,9,0.36
5941,I,0.36,0.27,0.085,0.2185,0.1065,0.038,0.062,6,0.05
5942,M,0.335,0.26,0.075,0.22,0.0855,0.04,0.085,6,0.05
5943,F,0.7,0.525,0.19,1.6015,0.707,0.365,0.43,10,0.46
5944,F,0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565,9,0.28
5945,F,0.465,0.355,0.115,0.4705,0.1955,0.118,0.126,7,0.15
5946,I,0.53,0.415,0.145,0.944,0.3845,0.185,0.265,21,0.29
5947,I,0.44,0.305,0.115,0.379,0.162,0.091,0.11,9,0.11
5948,F,0.56,0.435,0.15,0.8715,0.4755,0.1835,0.1835,9,0.21
5949,I,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,7,0.14
5950,M,0.62,0.495,0.195,1.5145,0.579,0.346,0.5195,15,0.42
5951,F,0.535,0.4,0.135,0.8215,0.3935,0.196,0.205,8,0.22
5952,I,0.47,0.355,0.125,0.499,0.21,0.0985,0.155,8,0.13
5953,F,0.525,0.41,0.115,0.7745,0.416,0.163,0.18,7,0.18
5954,F,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,20,0.37
5955,F,0.51,0.37,0.21,1.183,0.508,0.292,0.343,9,0.33
5956,M,0.46,0.36,0.125,0.547,0.2165,0.1105,0.19,8,0.14
5957,I,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,8,0.21
5958,I,0.325,0.24,0.075,0.152,0.065,0.0305,0.045,6,0.04
5959,I,0.525,0.4,0.13,0.6445,0.345,0.1285,0.2,8,0.1
5960,F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11,0.32
5961,M,0.55,0.45,0.15,1.0145,0.407,0.2015,0.2875,10,0.32
5962,M,0.64,0.51,0.17,1.3715,0.567,0.307,0.409,10,0.4
5963,M,0.54,0.405,0.125,0.891,0.4815,0.1915,0.202,9,0.21
5964,M,0.54,0.415,0.145,0.74,0.2635,0.168,0.245,12,0.23
5965,I,0.465,0.355,0.105,0.442,0.2085,0.0975,0.1185,7,0.12
5966,F,0.635,0.49,0.17,1.2615,0.5385,0.2665,0.38,9,0.34
5967,F,0.64,0.5,0.165,1.1635,0.554,0.239,0.32,11,0.29
5968,I,0.215,0.155,0.06,0.0525,0.021,0.0165,0.015,5,0.02
5969,I,0.55,0.435,0.165,0.804,0.34,0.194,0.244,8,0.22
5970,F,0.58,0.455,0.165,1.1365,0.369,0.3005,0.275,13,0.49
5971,F,0.6,0.465,0.155,1.04,0.4755,0.25,0.28,11,0.28
5972,F,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,20,0.29
5973,F,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,19,0.57
5974,F,0.66,0.495,0.21,1.548,0.724,0.3525,0.3925,10,0.43
5975,I,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385,5,0.06
5976,I,0.43,0.315,0.115,0.384,0.1885,0.0715,0.11,8,0.09
5977,F,0.49,0.38,0.145,0.6725,0.249,0.181,0.21,10,0.21
5978,M,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,8,0.3
5979,I,0.415,0.31,0.1,0.2805,0.114,0.0565,0.0975,6,0.07
5980,M,0.59,0.47,0.135,1.1685,0.539,0.279,0.28,8,0.35
5981,F,0.345,0.255,0.1,0.197,0.071,0.051,0.06,9,0.07
5982,F,0.635,0.51,0.17,1.2235,0.532,0.271,0.354,9,0.34
5983,M,0.69,0.53,0.21,1.583,0.7355,0.405,0.3865,12,0.46
5984,F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8,0.11
5985,F,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,9,0.3
5986,F,0.565,0.44,0.135,0.83,0.393,0.1735,0.238,9,0.2
5987,M,0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,12,0.51
5988,I,0.53,0.42,0.185,0.752,0.299,0.156,0.205,20,0.25
5989,I,0.29,0.215,0.06,0.1115,0.053,0.0185,0.032,5,0.03
5990,I,0.56,0.44,0.13,0.7235,0.349,0.149,0.2,8,0.17
5991,F,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,5,0.02
5992,I,0.325,0.25,0.08,0.176,0.0595,0.0355,0.063,7,0.05
5993,I,0.545,0.43,0.15,0.7285,0.302,0.1315,0.2545,10,0.17
5994,F,0.595,0.465,0.15,1.0765,0.491,0.22,0.287,9,0.3
5995,I,0.385,0.28,0.095,0.257,0.119,0.059,0.07,7,0.07
5996,F,0.72,0.59,0.205,1.7495,0.7755,0.4225,0.48,11,0.49
5997,I,0.475,0.36,0.11,0.492,0.211,0.11,0.15,8,0.13
5998,M,0.175,0.135,0.04,0.0305,0.011,0.0075,0.01,5,0.01
5999,F,0.5,0.4,0.165,0.7105,0.27,0.1455,0.225,20,0.22
6000,I,0.38,0.3,0.09,0.277,0.1655,0.0625,0.082,6,0.03
6001,I,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,8,0.05
6002,M,0.615,0.48,0.185,1.2205,0.4985,0.315,0.33,10,0.39
6003,I,0.545,0.425,0.14,0.8145,0.305,0.231,0.244,10,0.27
6004,M,0.335,0.26,0.075,0.22,0.0855,0.04,0.085,6,0.05
6005,M,0.655,0.545,0.19,1.4245,0.6325,0.333,0.378,10,0.41
6006,I,0.395,0.295,0.095,0.2725,0.115,0.0625,0.085,8,0.07
6007,I,0.435,0.33,0.11,0.38,0.1515,0.0945,0.11,7,0.12
6008,F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12,0.49
6009,I,0.295,0.21,0.08,0.1,0.038,0.026,0.031,8,0.03
6010,F,0.59,0.445,0.13,1.1325,0.3825,0.234,0.32,13,0.43
6011,I,0.425,0.34,0.1,0.3515,0.1625,0.082,0.094,7,0.09
6012,I,0.455,0.345,0.105,0.4005,0.164,0.0755,0.126,8,0.11
6013,I,0.5,0.38,0.155,0.6675,0.2745,0.156,0.18,12,0.21
6014,I,0.57,0.445,0.155,0.867,0.3705,0.1705,0.28,9,0.22
6015,M,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.186,7,0.19
6016,F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8,0.11
